City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
Bahia Honda,12,CU,1524618588,79.56,4.23,22.9,-83.16,77
La Malbaie,88,CA,1524618589,47.97,8.3,47.66,-70.15,72
Ponta do Sol,56,BR,1524618589,70.2,4.5,-20.63,-46,58
Riohacha,75,CO,1524614400,82.4,9.17,11.54,-72.91,78
Palivere,92,EE,1524618590,42.39,9.82,58.97,23.89,98
Vaini,0,IN,1524618590,63.27,1.88,15.34,74.49,87
Buzmeyin,20,TM,1524614400,53.6,4.7,38.05,58.21,81
Poum,0,MK,1524618590,43.02,1.81,41.28,20.71,77
Yaan,24,NG,1524618591,74.43,9.42,7.38,8.57,94
Srednekolymsk,0,RU,1524618592,40.14,4.9,67.46,153.71,62
Atuona,0,PF,1524618592,81.36,13.85,-9.8,-139.03,100
Dawei,76,MM,1524618592,77.13,0.87,14.07,98.19,94
Kruisfontein,8,ZA,1524618638,54.99,2.33,-34,24.73,89
Cap Malheureux,40,MU,1524614400,75.2,3.36,-19.98,57.61,88
Berga,0,ES,1524618000,57.2,5.82,42.1,1.85,87
Lebu,40,ET,1524614400,59,4.7,8.96,38.73,67
Mayo,75,CA,1524614400,53.6,6.93,63.59,-135.9,25
Arraial do Cabo,20,BR,1524614400,73.4,5.82,-22.97,-42.02,100
Meulaboh,68,ID,1524618640,79.29,2.59,4.14,96.13,100
Nikolskoye,75,RU,1524614400,42.8,4.47,59.7,30.79,87
Esso,0,RU,1524618640,26.46,5.28,55.93,158.7,86
Valle de Allende,64,MX,1524618641,84.42,11.95,26.94,-105.39,10
Leshukonskoye,0,RU,1524618641,23.76,6.02,64.9,45.76,78
Tuktoyaktuk,20,CA,1524614400,23,14.99,69.44,-133.03,79
Sidi Ali,24,DZ,1524618642,62.1,4.23,36.1,0.42,95
Longyearbyen,20,NO,1524617400,6.8,18.34,78.22,15.63,65
Teeli,0,RU,1524618642,28.17,1.88,51.01,90.2,81
Iqaluit,5,CA,1524614400,1.4,10.29,63.75,-68.52,70
Port Alfred,76,ZA,1524618643,61.92,1.48,-33.59,26.89,100
Aligarh,0,IN,1524618452,66.42,3,27.88,78.07,39
Ilhabela,0,BR,1524618619,74.16,9.08,-23.78,-45.36,100
Grand Gaube,40,MU,1524614400,75.2,3.36,-20.01,57.66,88
Vao,92,EE,1524618644,42.03,5.57,59.1,26.19,99
Marsabit,56,KE,1524618644,69.84,1.77,2.34,37.99,96
Tabuk,68,PH,1524618644,72,2.77,17.41,121.44,92
Natal,0,BR,1524618000,77,5.82,-5.81,-35.21,83
Arman,90,RU,1524614400,26.6,11.18,59.7,150.17,92
Misratah,0,LY,1524618645,57.24,6.85,32.38,15.09,100
Yar-Sale,48,RU,1524618646,12.87,11.32,66.83,70.83,84
Sorland,92,NO,1524618646,41.4,18.1,67.67,12.69,99
Geraldton,90,CA,1524614400,37.4,10.29,49.72,-86.95,55
Rodrigues Alves,20,BR,1524614400,78.8,5.82,-7.74,-72.65,83
Fort Nelson,40,CA,1524614400,55.4,17.22,58.81,-122.69,26
Albany,1,US,1524617640,62.6,13.87,42.65,-73.75,37
Kahului,75,US,1524614160,77,19.46,20.89,-156.47,78
Bluff,0,AU,1524618647,76.59,4.5,-23.58,149.07,39
Ndago,80,UG,1524618648,58.5,2.26,-0.97,29.98,100
Tawang,0,BT,1524618648,35.64,1.32,27.59,91.87,70
Buribay,8,RU,1524618648,28.17,8.63,51.96,58.16,86
Povarovo,75,RU,1524616200,46.4,6.71,56.08,37.05,82
Matara,56,PE,1524618649,50.22,1.99,-13.74,-72.9,59
Khatanga,48,RU,1524618650,8.37,10.38,71.98,102.47,74
Isangel,68,VU,1524618650,79.2,14.07,-19.55,169.27,99
Tommot,44,RU,1524618650,25.56,7.52,58.97,126.27,58
Atikokan,0,CA,1524618650,40.68,8.25,48.76,-91.62,51
Antalaha,24,MG,1524618651,73.89,9.26,-14.9,50.28,98
Namibe,0,AO,1524618651,78.84,8.59,-15.19,12.15,100
Sao Filipe,0,CV,1524618698,70.83,16.42,14.9,-24.5,98
Pandan,0,PH,1524618698,81.72,9.31,11.72,122.09,100
Avarua,75,CK,1524614400,78.8,5.82,-21.21,-159.78,83
Dengzhou,92,CN,1524618699,62.28,5.5,32.69,112.08,90
Kapaa,40,US,1524614160,78.8,18.34,22.08,-159.32,69
Sao Miguel do Araguaia,0,BR,1524618699,76.86,1.1,-13.28,-50.16,79
Yulara,40,AU,1524614400,78.8,9.17,-25.24,130.99,34
Praia da Vitoria,20,PT,1524614400,60.8,4.56,38.73,-27.07,93
Can Tho,32,VN,1524618700,79.38,4.61,10.04,105.78,93
Gornopravdinsk,88,RU,1524618701,31.68,6.58,60.06,69.92,98
Makakilo City,90,US,1524614880,82.4,10.29,21.35,-158.09,88
Belawan,92,ID,1524618701,71.37,1.88,-0.59,114.46,100
Mandalgovi,44,MN,1524618702,43.2,8.3,45.76,106.27,72
Saint George,0,GR,1524617400,57.2,4.7,39.45,22.34,67
Katangli,0,RU,1524618702,36.99,5.73,51.71,143.23,87
Sao Jose da Coroa Grande,92,BR,1524618501,75.96,3.71,-8.9,-35.15,99
Traipu,64,BR,1524618480,76.41,8.14,-9.97,-37,78
Abnub,0,EG,1524614400,64.4,6.93,27.27,31.15,42
Tiksi,92,RU,1524618703,21.06,18.54,71.64,128.87,95
Zheleznodorozhnyy,75,RU,1524616200,46.4,4.47,55.75,38,56
Baculin,12,PH,1524618704,81.36,5.84,7.45,126.58,87
Vila Velha,0,BR,1524618000,78.8,3.36,-3.71,-38.6,83
Walvis Bay,0,NA,1524618704,63.09,9.26,-22.95,14.51,100
Butaritari,48,KI,1524618704,83.52,6.35,3.07,172.79,100
Esperance,20,TT,1524614400,77,3.36,10.24,-61.45,78
Saint Anthony,1,US,1524614160,59,6.93,43.97,-111.68,28
Abu Dhabi,24,AE,1524614400,78.8,4.7,24.47,54.37,83
Fortuna,0,ES,1524618000,71.6,13.87,38.18,-1.13,37
Ribeira Grande,88,PT,1524618706,62.82,7.63,38.52,-28.7,99
Leningradskiy,48,RU,1524618706,5.94,8.93,69.38,178.42,100
Yellowknife,40,CA,1524614400,41,17.22,62.45,-114.38,60
Abonnema,44,NG,1524618707,76.68,4.83,4.71,6.79,91
Valdivia,20,CL,1524614400,42.8,2.24,-39.81,-73.25,100
Mar del Plata,20,AR,1524618707,51.93,10.76,-46.43,-67.52,61
Mayya,40,RU,1524614400,26.6,8.95,61.74,130.28,58
Aykhal,0,RU,1524618708,15.66,9.82,65.95,111.51,75
Northam,40,GB,1524617400,48.2,6.93,51.04,-4.21,87
Jalu,0,LY,1524618709,57.96,8.93,29.03,21.55,53
San Patricio,0,PY,1524618709,74.79,3.11,-26.98,-56.83,81
Bonavista,12,CA,1524618709,40.86,18.21,48.65,-53.11,66
Faanui,44,PF,1524618710,79.92,7.36,-16.48,-151.75,100
Tingo Maria,44,PE,1524618710,66.42,1.1,-9.29,-76.01,85
Mitsamiouli,0,KM,1524618710,80.37,10.65,-11.38,43.28,100
Trelew,0,AR,1524618758,54.63,14.29,-43.25,-65.31,70
Upata,32,VE,1524618758,82.08,8.3,8.02,-62.41,52
Alofi,75,NU,1524614400,84.2,16.11,-19.06,-169.92,66
Saskylakh,56,RU,1524618759,10.8,9.82,71.97,114.09,85
Salalah,20,OM,1524613800,80.6,3.36,17.01,54.1,83
Miri,32,NG,1524618759,74.97,4.83,10.31,9.75,61
Mogadishu,56,SO,1524618539,83.52,7.85,2.04,45.34,100
Lasa,48,CY,1524618000,68,8.05,34.92,32.53,72
Soyo,100,AO,1524618760,79.29,3,-6.13,12.37,96
Qaanaaq,24,GL,1524618760,17.55,2.48,77.48,-69.36,90
Port Hedland,8,AU,1524618761,83.97,2.04,-20.31,118.58,62
Timizart,92,DZ,1524618761,65.97,1.7,36.8,4.25,65
Lac du Bonnet,0,CA,1524618594,44.64,7.81,50.25,-96.06,51
Ambilobe,32,MG,1524618761,69.57,3.33,-13.19,49.05,94
Kodiak,1,US,1524613980,69.8,24.16,39.95,-94.76,40
Sultanpur,0,IN,1524618762,70.56,2.77,26.26,82.07,36
Jaciara,0,BR,1524618778,74.07,3.71,-15.95,-54.98,69
Tsogni,92,GA,1524618763,79.2,2.71,-2.79,10.1,100
Nizhniy Ufaley,68,RU,1524618763,25.02,5.28,55.91,59.99,88
Touros,68,BR,1524618763,76.95,7.63,-5.2,-35.46,94
Cumana,76,VE,1524618763,76.14,2.26,10.46,-64.17,65
Palana,44,RU,1524618764,31.5,8.63,59.08,159.95,82
Mtwara,8,TZ,1524618764,78.12,9.31,-10.28,40.18,100
Klaksvik,92,FO,1524617400,39.2,9.17,62.23,-6.59,100
Elesbao Veloso,48,BR,1524618764,73.89,4.72,-6.2,-42.14,96
Bubaque,0,GW,1524618000,75.2,4.7,11.28,-15.83,73
Fredericton,75,CA,1524614400,55.4,13.87,45.97,-66.65,49
Ancud,36,CL,1524618765,43.29,2.77,-41.87,-73.83,88
Hami,0,CN,1524618765,55.89,1.88,42.84,93.51,44
Padang,76,ID,1524618766,82.17,2.21,-0.92,100.36,100
Kodar,0,IN,1524618766,76.41,4.23,16.98,79.97,95
Pozo Colorado,44,PY,1524618766,77.22,3,-23.49,-58.8,73
Hovd,75,NO,1524617400,42.8,25.28,63.83,10.7,86
Hasaki,75,JP,1524616440,66.2,11.41,35.73,140.83,93
Axim,8,GH,1524618767,81.9,10.54,4.87,-2.24,98
Dapdap,32,PH,1524618767,82.71,7.25,14.05,121.57,96
Bathsheba,40,BB,1524618000,77,11.41,13.22,-59.52,83
Cabo San Lucas,75,MX,1524613920,89.6,14.99,22.89,-109.91,15
Kaitangata,12,NZ,1524618768,56.7,12.88,-46.28,169.85,67
Hofn,68,IS,1524618768,36.99,7.02,64.25,-15.21,100
Pingliang,76,CN,1524618769,47.07,4.38,35.54,106.68,92
Broome,64,GB,1524617400,51.8,10.29,52.47,1.45,93
Kanjiza,0,RS,1524617100,55.4,1.12,46.06,20.05,87
Monrovia,40,LR,1524616200,78.8,4.27,6.33,-10.8,94
Linxia,20,CN,1524618770,36.54,3.71,35.6,103.21,86
Kavieng,0,PG,1524618770,84.87,5.12,-2.57,150.8,100
Grindavik,90,IS,1524618000,39.2,8.05,63.84,-22.43,93
Pevek,0,RU,1524618818,23.58,7.63,69.7,170.27,90
Strezhevoy,0,RU,1524616200,37.4,6.71,60.73,77.6,100
Vostok,0,RU,1524618818,57.87,2.37,46.45,135.83,58
Okha,44,RU,1524618819,42.48,17.36,53.59,142.95,86
Chapais,90,CA,1524618000,44.6,4.7,49.78,-74.86,56
Saldanha,8,PT,1524618819,55.44,2.71,41.42,-6.55,87
Palmer,75,AU,1524614400,64.4,6.93,-34.85,139.16,72
Rundu,0,NA,1524618820,59.22,6.02,-17.91,19.77,50
Broken Hill,48,AU,1524618820,68.67,6.02,-31.97,141.45,70
Ouallam,8,NE,1524618820,76.23,4.23,14.32,2.08,31
Lazaro Cardenas,40,MX,1524613980,89.6,6.93,28.39,-105.62,8
Bredasdorp,44,ZA,1524618000,51.8,4.7,-34.53,20.04,87
Cheremukhovo,0,RU,1524618821,20.97,2.59,56.23,46.23,76
Tasiilaq,12,GL,1524617400,26.6,1.12,65.61,-37.64,79
Usinsk,32,RU,1524618822,8.73,2.77,66,57.56,50
Ojinaga,32,US,1524618822,91.35,3.83,29.56,-104.41,12
Juba,64,EE,1524617400,44.6,10.29,57.82,26.93,100
Severo-Kurilsk,32,RU,1524618822,33.84,8.86,50.68,156.12,94
Sangar,0,RU,1524618823,20.79,6.4,63.92,127.47,54
Komsomolskiy,36,RU,1524618823,-1.44,3.11,67.55,63.78,57
Rosita,80,NI,1524618824,79.74,3.38,13.92,-84.4,74
Dekar,0,BW,1524618824,56.97,3.33,-21.53,21.93,56
Arroyo,90,US,1524617640,48.2,12.75,41.39,-78.88,93
Santa Cruz,1,US,1524617760,73.4,10.29,36.97,-122.03,82
Aksu,40,KZ,1524614400,48.2,15.66,52.04,76.93,93
The Valley,75,AI,1524618000,77,14.99,18.22,-63.06,78
Gagino,48,RU,1524618827,35.46,8.3,54.27,39.54,76
Ilulissat,88,GL,1524617400,24.8,4.7,69.22,-51.1,92
Grootfontein,0,NA,1524618827,52.11,2.55,-19.56,18.1,70
Amuntai,92,ID,1524618828,75.51,2.89,-2.42,115.25,96
Ifakara,68,TZ,1524618828,67.5,2.33,-8.13,36.68,93
Gamba,44,CN,1524618828,12.96,3.27,28.28,88.52,89
Burnie,92,AU,1524618829,59.4,9.37,-41.05,145.91,100
Ayr,20,GB,1524617400,46.4,14.99,55.46,-4.63,87
Fulton,20,US,1524617700,62.6,6.02,43.32,-76.42,41
Aklavik,5,CA,1524614400,37.4,9.17,68.22,-135.01,51
Omsukchan,32,RU,1524618830,29.43,3.71,62.53,155.8,86
Noyabrsk,88,RU,1524618831,40.5,9.64,63.2,75.45,96
Monterey,1,US,1524617700,62.6,10.29,36.6,-121.89,76
Pareora,0,NZ,1524618831,51.3,4.12,-44.49,171.21,89
Abha,20,SA,1524614400,62.6,5.82,18.22,42.5,77
West Wendover,1,US,1524614160,64.4,9.17,40.74,-114.07,16
Kenai,90,US,1524614160,46.4,8.05,60.55,-151.26,81
Georgetown,20,GY,1524614400,77,6.93,6.8,-58.16,88
Marystown,0,CA,1524618879,38.07,15.08,47.17,-55.16,84
Ajdabiya,0,LY,1524618879,56.07,7.81,30.75,20.22,84
Lorengau,0,PG,1524618879,85.41,6.8,-2.02,147.27,95
Heerenveen,75,NL,1524617700,53.6,19.46,52.96,5.93,87
Coahuayana,32,MX,1524618879,83.61,2.37,18.62,-100.35,53
Dikson,64,RU,1524618880,16.47,7.63,73.51,80.55,97
Kloulklubed,90,PW,1524617520,87.8,8.05,7.04,134.26,74
Rio Gallegos,0,AR,1524618000,50,9.17,-51.62,-69.22,53
Tambacounda,0,SN,1524614400,96.8,9.17,13.77,-13.67,18
Kyabram,64,AU,1524618881,66.51,4.23,-36.31,145.05,78
Mopti,0,ML,1524614400,87.8,2.77,14.49,-4.19,38
Tilichiki,0,RU,1524618882,31.59,9.75,60.47,166.1,90
Sambava,44,MG,1524618882,77.76,13.33,-14.27,50.17,100
Atar,36,MR,1524618882,71.1,9.53,20.52,-13.05,28
Jackville,20,CI,1524616200,84.2,8.05,5.21,-4.42,79
Cherskiy,0,RU,1524618883,30.51,1.99,68.75,161.3,75
Hirara,75,JP,1524614400,71.6,10.29,24.8,125.28,73
Merauke,12,ID,1524618884,85.77,13.62,-8.49,140.4,77
Nkayi,88,CG,1524618884,74.07,1.48,-4.18,13.29,94
Hamilton,90,CA,1524618000,51.8,5.82,43.26,-79.87,100
Nanortalik,56,GL,1524618885,30.87,13.33,60.14,-45.24,97
Kalabo,0,ZM,1524618885,67.5,10.31,-15,22.67,48
Dwarka,0,IN,1524618000,78.8,3.36,28.58,77.04,26
Gigmoto,32,PH,1524618886,82.08,3.56,13.78,124.39,99
Cam Ranh,8,VN,1524618886,78.84,4.79,11.92,109.15,93
Windsor,90,US,1524618000,51.8,5.82,42.3,-83.03,100
Bocaiuva,0,BR,1524614400,69.8,4.7,-17.12,-43.81,73
Baturaja,92,ID,1524618887,73.26,6.29,-4.12,104.17,98
Zhuhai,0,CN,1524614400,48.2,2.24,40.71,112.04,82
Altay,0,CN,1524618888,31.86,3.33,47.83,88.13,56
Sarai Naurang,0,PK,1524618888,63,6.85,32.83,70.78,84
Ulaanbaatar,0,MN,1524616200,44.6,4.47,47.92,106.92,33
Tautira,40,PF,1524614400,80.6,12.75,-17.73,-149.15,83
Bilibino,0,RU,1524618889,28.62,3.11,68.06,166.44,69
Cayenne,92,GF,1524618000,75.2,2.24,4.94,-52.33,100
Tual,36,ID,1524618890,84.33,12.77,-5.67,132.75,99
Viedma,92,AR,1524618890,56.52,10.09,-40.81,-62.99,83
Fayaoue,92,NC,1524618890,76.5,11.65,-20.65,166.53,100
Ketchikan,36,US,1524617580,51.8,4.7,55.34,-131.65,66
Yook,12,PH,1524618891,81.45,2.55,13.23,121.96,100
Kavaratti,8,IN,1524618891,85.59,10.42,10.57,72.64,100
Gambela,20,ET,1524618892,61.11,3.04,8.25,34.59,88
Zhigansk,80,RU,1524618892,20.97,10.42,66.77,123.37,67
Oruro,8,BO,1524618938,45,7.52,-17.97,-67.11,97
Rockhampton,0,AU,1524614400,80.6,2.24,-23.38,150.51,57
Cabra,20,ES,1524618000,59,4.7,37.47,-4.43,87
Maldonado,20,UY,1524618000,66.2,6.93,-34.91,-54.96,88
Bela,0,PK,1524618939,59.4,0.87,26.23,66.31,74
Portland,75,US,1524617580,82.4,14.99,45.52,-122.67,22
Isabela,32,PH,1524618940,80.37,3.78,10.2,122.99,84
Saint-Leu,90,RE,1524614400,77,4.7,-21.15,55.28,100
Marfino,75,RU,1524616200,46.4,6.71,56.07,37.56,66
Ordu,0,TR,1524618941,44.1,2.48,40.98,37.88,73
Hovorany,0,CZ,1524616200,57.2,1.12,48.95,16.99,71
Rawson,0,AR,1524618941,54.63,14.29,-43.3,-65.11,70
Preobrazheniye,0,RU,1524618941,55.8,2.33,42.9,133.91,41
Balikpapan,92,ID,1524618942,78.84,6.8,-1.24,116.86,100
Samarai,88,PG,1524618942,82.35,10.83,-10.62,150.67,100
Hailar,0,CN,1524618942,53.19,13.33,49.2,119.7,44
Gorontalo,92,ID,1524618942,74.16,1.48,0.54,123.06,97
Aripuana,20,BR,1524618943,78.3,2.26,-9.17,-60.63,91
Fairview,90,US,1524618360,57.2,6.93,40.81,-74,58
Norman Wells,75,CA,1524614400,39.2,9.17,65.28,-126.83,60
Ahipara,8,NZ,1524618944,65.25,9.31,-35.17,173.16,79
Rosetta,20,EG,1524614400,64.4,6.93,31.4,30.42,63
Baykit,36,RU,1524618945,21.78,5.5,61.68,96.39,62
Doha,0,QA,1524614400,77,10.29,25.29,51.53,61
Rio Grande,76,BR,1524618709,72.54,9.37,-32.03,-52.1,97
Tandil,92,AR,1524618946,62.91,14.41,-37.33,-59.14,73
Catia La Mar,40,VE,1524618000,80.6,5.82,10.6,-67.03,74
Astoria,1,US,1524617700,75.2,6.93,46.19,-123.83,31
Troitsko-Pechorsk,0,RU,1524618946,14.67,4.05,62.71,56.19,82
Ubauro,0,PK,1524618947,69.93,2.82,28.16,69.73,40
Warmbad,0,DE,1524617400,51.8,8.05,50.67,13.08,81
Kidal,20,ML,1524618947,76.59,6.24,18.44,1.41,19
Flin Flon,12,CA,1524618749,53.55,10.04,54.77,-101.88,52
Vostochnyy,75,RU,1524616200,46.4,6.71,55.82,37.87,66
Lagoa,0,PT,1524616200,60.8,4.7,37.14,-8.45,100
Mehamn,88,NO,1524618948,33.84,7.58,71.03,27.85,91
Coquimbo,0,CL,1524618000,53.6,2.24,-29.95,-71.34,93
Puerto Leguizamo,20,CO,1524618949,76.05,1.88,-0.19,-74.78,95
Ulladulla,0,AU,1524614400,68,5.82,-35.36,150.48,52
Clearwater,40,US,1524616500,73.4,6.93,27.97,-82.8,73
Abu Samrah,0,SY,1524618949,59.13,7.92,35.3,37.18,42
Sun City West,1,US,1524617580,95,10.29,33.66,-112.34,7
Chitrakonda,20,IN,1524618950,66.6,1.77,18.12,82.08,92
Karaton,88,ID,1524618950,73.17,3.22,-6.34,106.1,98
Katsuura,75,JP,1524614880,64.4,17.22,33.93,134.5,63
Podgornoye,92,RU,1524618998,42.12,5.57,57.79,82.64,93
Newport,90,GB,1524617400,48.2,13.87,51.59,-3,100
Igarka,92,RU,1524618999,22.32,10.31,67.47,86.57,91
Warkworth,80,NZ,1524614400,66.2,12.75,-36.4,174.66,63
Tessalit,0,ML,1524619000,72.9,5.79,20.2,1.01,23
Delta del Tigre,0,UY,1524618000,66.2,5.82,-34.76,-56.41,77
Ushtobe,100,KZ,1524619000,60.57,7.52,45.25,77.98,92
Loja,8,EC,1524619000,63.72,1.54,-4,-79.2,57
Goderich,92,CA,1524619001,50.4,7.74,43.74,-81.71,83
Pontal,0,BR,1524614400,71.6,4.7,-21.02,-48.04,64
Sao Joao da Barra,8,BR,1524619001,76.59,10.6,-21.64,-41.05,100
Neuruppin,75,DE,1524617400,53.6,3.36,52.92,12.81,87
Gushikawa,75,JP,1524616200,71.6,14.99,26.35,127.87,73
Havre-Saint-Pierre,40,CA,1524618000,39.2,8.05,50.23,-63.6,69
Hambantota,0,LK,1524619002,79.92,4.23,6.12,81.12,100
Willowmore,20,ZA,1524619003,44.19,1.32,-33.3,23.49,76
Pedernales,80,EC,1524619003,78.3,2.89,0.07,-80.05,81
La Ronge,90,CA,1524614400,66.2,8.05,55.1,-105.3,22
Pochutla,90,MX,1524613260,87.8,11.41,15.74,-96.47,98
Lensk,0,RU,1524619004,23.94,6.8,60.71,114.91,61
Thyboron,36,DK,1524618754,42.57,14.97,56.7,8.21,94
Palu,68,ID,1524619004,67.77,1.99,-0.9,119.87,94
Huarmey,88,PE,1524619005,69.57,3.38,-10.07,-78.15,67
Cockburn Town,44,TC,1524619005,78.39,22.46,21.46,-71.14,98
Yelandur,44,IN,1524619005,64.26,1.7,12.07,77.03,98
Taoudenni,64,ML,1524619006,76.41,10.94,22.68,-3.98,19
Moron,75,VE,1524618000,80.6,2.24,10.49,-68.2,74
Abu Kamal,0,SY,1524619006,61.11,11.05,34.45,40.92,33
Perth,40,GB,1524615600,42.8,9.17,56.4,-3.43,93
Minas,20,UY,1524618000,66.2,6.93,-34.38,-55.24,88
Aviles,88,ES,1524618000,55.4,3.36,43.55,-5.92,100
Mahibadhoo,92,MV,1524619008,85.77,11.83,3.78,72.97,98
Port Hardy,20,CA,1524614400,55.4,16.11,50.7,-127.42,50
Namatanai,64,PG,1524619009,84.06,6.02,-3.66,152.44,100
Buckeye,75,US,1524617580,96.8,9.17,33.37,-112.58,9
Ayan,0,TR,1524619009,35.64,2.26,40.67,33.6,74
Pushkinskiye Gory,76,RU,1524619010,42.93,11.32,57.02,28.91,87
Nenjiang,0,CN,1524619010,62.91,6.73,49.17,125.23,50
Channel-Port aux Basques,0,CA,1524619010,38.61,14.67,47.57,-59.14,79
